Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
2025-01-27 14:30:00,100765.41,101428.0,100416.0,101224.0,1269.73973,2025-01-27 14:44:59.999,128227335.4305146,254957,657.73674,66429667.268257,0
2025-01-27 14:45:00,101224.01,102317.94,101135.02,101920.89,1218.58124,2025-01-27 14:59:59.999,124103355.6235108,214120,716.39828,72950090.7869012,0
2025-01-27 15:00:00,101920.88,102118.49,101502.06,101523.45,852.91895,2025-01-27 15:14:59.999,86831172.1897195,169312,339.65902,34591637.4433466,0
2025-01-27 15:15:00,101523.46,101940.0,100852.0,101658.99,633.68688,2025-01-27 15:29:59.999,64221538.0527174,127960,292.95253,29694162.661209,0
2025-01-27 15:30:00,101658.98,101830.9,101299.79,101341.19,579.24915,2025-01-27 15:44:59.999,58854788.3334742,129275,272.20417,27654411.0085833,0
2025-01-27 15:45:00,101341.19,101559.41,101100.0,101112.03,267.10246,2025-01-27 15:59:59.999,27065969.1777956,77974,126.56889,12825271.8724895,0
2025-01-27 16:00:00,101112.03,101250.56,100850.43,101045.58,464.62869,2025-01-27 16:14:59.999,46938285.0674376,115718,158.0627,15968417.7849507,0
2025-01-27 16:15:00,101045.58,101164.0,100564.0,100829.22,403.12713,2025-01-27 16:29:59.999,40657452.1318591,116216,148.71853,15001248.1151357,0
2025-01-27 16:30:00,100829.17,100829.17,99566.25,99976.07,1014.31832,2025-01-27 16:44:59.999,101465363.7085859,200335,408.22428,40819186.3837635,0
2025-01-27 16:45:00,99976.06,100275.08,99582.0,99744.0,456.99128,2025-01-27 16:59:59.999,45654561.0694702,115127,220.71462,22052602.5216097,0
2025-01-27 17:00:00,99744.0,100050.02,99248.26,99585.87,472.68416,2025-01-27 17:14:59.999,47082736.5411622,99245,219.30845,21843238.2307735,0
2025-01-27 17:15:00,99585.88,99660.0,99049.98,99575.13,425.31806,2025-01-27 17:29:59.999,42256262.3625219,104512,186.39306,18516987.0829938,0
2025-01-27 17:30:00,99575.12,99980.08,99381.57,99585.99,421.1133,2025-01-27 17:44:59.999,42020439.5699748,84142,217.94504,21746702.214409,0
2025-01-27 17:45:00,99586.0,99805.45,99142.46,99150.01,433.54417,2025-01-27 17:59:59.999,43082872.4835457,80494,179.22946,17811024.5328545,0
2025-01-27 18:00:00,99150.01,99584.0,99049.94,99488.68,359.33684,2025-01-27 18:14:59.999,35688768.3770721,95490,202.39864,20105337.837389,0
2025-01-27 18:15:00,99488.68,99753.89,99146.36,99171.43,273.82127,2025-01-27 18:29:59.999,27232862.4206121,84857,111.76618,11119346.2617443,0
2025-01-27 18:30:00,99171.44,99545.42,99072.28,99168.35,226.1341,2025-01-27 18:44:59.999,22450809.3968429,63515,103.21013,10248170.2265726,0
2025-01-27 18:45:00,99168.35,99399.17,98864.0,99180.0,687.67812,2025-01-27 18:59:59.999,68146725.5419786,87813,176.26896,17470673.5588023,0
2025-01-27 19:00:00,99180.0,99693.96,99175.03,99195.99,438.8415,2025-01-27 19:14:59.999,43632940.5072456,83356,226.00303,22475135.8522928,0
2025-01-27 19:15:00,99196.0,99779.0,99184.94,99690.0,304.65231,2025-01-27 19:29:59.999,30304484.4058379,77486,150.67914,14992205.5303383,0
2025-01-27 19:30:00,99690.04,99952.0,99564.19,99733.99,196.92432,2025-01-27 19:44:59.999,19647136.188354,70442,103.6854,10344963.5978592,0
2025-01-27 19:45:00,99733.99,99743.92,99400.71,99700.02,294.48416,2025-01-27 19:59:59.999,29309775.794384,70638,150.91005,15019851.039047,0
2025-01-27 20:00:00,99700.01,99935.82,99606.46,99756.01,240.68928,2025-01-27 20:14:59.999,24021341.8407269,76726,125.33278,12509238.795984,0
2025-01-27 20:15:00,99756.01,100412.18,99668.02,100351.68,238.0216,2025-01-27 20:29:59.999,23819483.9817958,58854,138.77713,13884613.5052015,0
2025-01-27 20:30:00,100351.99,100952.48,100351.99,100944.51,329.50068,2025-01-27 20:44:59.999,33173558.0208269,91177,192.49765,19377749.3673867,0
2025-01-27 20:45:00,100944.51,101750.4,100932.23,101386.5,729.39012,2025-01-27 20:59:59.999,73983376.7928622,130098,324.33324,32891615.3155134,0
2025-01-27 21:00:00,101386.11,102405.0,101324.63,102295.12,751.72851,2025-01-27 21:14:59.999,76648145.1804858,136483,441.8038,45056566.796825,0
2025-01-27 21:15:00,102295.12,102370.07,101567.0,101672.55,534.84553,2025-01-27 21:29:59.999,54568348.4489047,141499,242.96928,24787063.4897064,0
2025-01-27 21:30:00,101672.54,101724.53,100954.0,101123.99,340.25227,2025-01-27 21:44:59.999,34470674.0179226,103506,134.34893,13608491.7441712,0
2025-01-27 21:45:00,101124.0,101503.17,101120.0,101349.67,200.74971,2025-01-27 21:59:59.999,20335235.7663174,69296,105.09585,10647114.7090755,0
2025-01-27 22:00:00,101349.67,101677.51,101349.67,101520.28,128.92423,2025-01-27 22:14:59.999,13094228.8237951,48488,70.79986,7190359.3632312,0
2025-01-27 22:15:00,101520.28,101592.0,101277.77,101474.0,132.29888,2025-01-27 22:29:59.999,13424016.7647824,36801,51.24471,5200002.1506538,0
2025-01-27 22:30:00,101474.0,101717.24,101421.36,101708.12,142.756,2025-01-27 22:44:59.999,14496310.1524459,31887,88.94704,9031036.7372834,0
2025-01-27 22:45:00,101708.12,101961.09,101604.0,101637.18,144.23167,2025-01-27 22:59:59.999,14687738.1790463,37274,76.6641,7809940.7305864,0
2025-01-27 23:00:00,101637.18,102123.25,101637.18,101993.52,207.83566,2025-01-27 23:14:59.999,21188577.7604526,65877,122.33119,12471717.3207737,0
2025-01-27 23:15:00,101993.52,102107.33,101700.21,101739.95,202.78857,2025-01-27 23:29:59.999,20664745.0623964,63224,90.69489,9240731.8582458,0
2025-01-27 23:30:00,101739.96,102039.26,101734.4,101764.05,228.60329,2025-01-27 23:44:59.999,23286160.7467215,40387,134.47205,13698093.7644686,0
2025-01-27 23:45:00,101764.05,102183.21,101764.05,102082.83,189.9352,2025-01-27 23:59:59.999,19365965.3425778,31786,127.50965,13002176.4788994,0
2025-01-28 00:00:00,102082.83,102892.0,102067.8,102458.67,545.7842,2025-01-28 00:14:59.999,55979159.0692964,132029,310.10951,31804081.4578661,0
2025-01-28 00:15:00,102458.94,102535.99,102172.83,102191.0,202.02104,2025-01-28 00:29:59.999,20673704.3174402,46017,83.26559,8520540.8412554,0
2025-01-28 00:30:00,102190.99,102350.7,102027.21,102288.11,220.18851,2025-01-28 00:44:59.999,22501330.2527336,42492,103.63222,10590787.5163756,0
2025-01-28 00:45:00,102288.1,102339.76,101777.0,101856.01,217.97625,2025-01-28 00:59:59.999,22224513.5496701,36727,75.96293,7745071.3191698,0
2025-01-28 01:00:00,101856.0,101900.04,101629.62,101853.09,148.64449,2025-01-28 01:14:59.999,15134296.7556927,35383,59.64563,6072611.9011958,0
2025-01-28 01:15:00,101853.1,102000.0,101466.0,101475.05,191.14104,2025-01-28 01:29:59.999,19441232.8727113,40865,72.04941,7329810.0915576,0
2025-01-28 01:30:00,101475.04,101728.21,101466.0,101578.01,253.22137,2025-01-28 01:44:59.999,25731894.6648959,39048,188.90357,19195833.6985186,0
2025-01-28 01:45:00,101578.0,101844.35,101382.66,101382.67,225.88343,2025-01-28 01:59:59.999,22958985.110432,57022,88.61447,9007761.479541,0
2025-01-28 02:00:00,101382.66,101590.38,101334.55,101515.99,174.33114,2025-01-28 02:14:59.999,17688537.4757731,41935,74.70092,7578964.0532942,0
2025-01-28 02:15:00,101515.99,102104.0,101477.6,101975.84,326.0125,2025-01-28 02:29:59.999,33169894.4806492,60851,137.72837,14019258.8260015,0
2025-01-28 02:30:00,101975.84,102320.88,101848.89,102290.25,144.52217,2025-01-28 02:44:59.999,14753502.0272719,60197,85.20071,8699794.9543468,0
2025-01-28 02:45:00,102290.25,102436.79,102161.07,102402.01,175.1486,2025-01-28 02:59:59.999,17919800.1586577,51026,84.64873,8660072.5449513,0
2025-01-28 03:00:00,102402.01,102443.93,102026.02,102350.91,210.53528,2025-01-28 03:14:59.999,21524397.4010228,54002,65.57989,6703839.1264069,0
2025-01-28 03:15:00,102350.9,102459.31,102242.42,102353.14,155.04431,2025-01-28 03:29:59.999,15869489.2916243,45155,67.31409,6890025.6161257,0
